power_setpoint_w,mode,rpm_setpoint,servo_us,expected_sfc_g_per_kwh
0,Off,0,1000,inf
100,Idle,3000,1000,1143.840
125,max_efficiency,3032,1150,863.666
150,max_efficiency,3040,1225,825.627
175,max_efficiency,3047,1300,787.588
200,max_efficiency,3037,1475,661.521
225,max_efficiency,3026,1650,535.453
250,max_efficiency,3271,1800,532.556
275,max_efficiency,3516,1950,529.659
300,max_efficiency,3510,1925,514.495
325,max_efficiency,3504,1900,499.331
350,max_efficiency,3764,1900,499.868
375,max_efficiency,4023,1900,500.405
400,max_efficiency,4257,1925,500.108
425,max_efficiency,4491,1950,499.810
450,max_efficiency,4496,1900,501.617
475,max_efficiency,4502,1850,503.424
500,max_efficiency,4748,1900,521.443
525,max_efficiency,4995,1950,539.462
550,max_efficiency,5254,1850,564.563
575,max_power,6020,1800,661.957
600,max_power,6270,1850,658.900
625,max_power,6519,1900,655.843
650,max_power,6755,1875,673.745
675,max_power,6991,1850,691.647
700,max_power,6991,1850,691.647
